sku,name,description,slug,meta_description,meta_keywords,shipping_category_id,price,taxons_ru,Taxons,Available On,stock,product_properties,translation,price_eu,price_ru,Images
978-5-699-65252-5_site_4,Телец. Любовный прогноз на 2014 год,"Василиса Володина - ведущий астролог страны! Персональный гороскоп для каждого читателя! Подходит как для женщин, так и для мужчин! Удобный формат, красивое оформление! Известный астролог Василиса Володина впервые в мире представляет прогноз не просто для знака Зодиака, а лично для вас! Василиса Володина поделится секретами и приемами профессионального астролога. Вы узнаете о том, ждут ли Вас большие изменения в личной жизни в 2014-м году и какие. Определите важные для себя периоды года в любви: какой из них удачен для новых знакомств, а какой для романтических свиданий, общения с любимым человеком, секса и других важных событий вашей жизни. Сделайте первый шаг к индивидуальному прогнозу в любви и личной жизни на 2014 год!",book_315469_site_4,"","",default,2.62,Categories>Нехудожественная литература>Эзотерика. Парапсихология. Тайны>Астрология>Гороскопы на 2014 год|Авторы>Василиса Володина|Издатели>Эксмо,Categories>Нехудожественная литература>Эзотерика. Парапсихология. Тайны>Астрология>Гороскопы на 2014 год|Authors>Василиса Володина|Publishers>Эксмо,2014-01-01,3,Publisher:М.: Эксмо|publication_year:2013|ISBN:978-5-699-65252-5|Format:60x90/16|in_stock:3|Pages:160|,"Телец. Любовный прогноз на 2014 год:Василиса Володина - ведущий астролог страны! Персональный гороскоп для каждого читателя! Подходит как для женщин, так и для мужчин! Удобный формат, красивое оформление! Известный астролог Василиса Володина впервые в мире представляет прогноз не просто для знака Зодиака, а лично для вас! Василиса Володина поделится секретами и приемами профессионального астролога. Вы узнаете о том, ждут ли Вас большие изменения в личной жизни в 2014-м году и какие. Определите важные для себя периоды года в любви: какой из них удачен для новых знакомств, а какой для романтических свиданий, общения с любимым человеком, секса и других важных событий вашей жизни. Сделайте первый шаг к индивидуальному прогнозу в любви и личной жизни на 2014 год!",2.13,138,http://www.ozon.ru/multimedia/books_covers/1007532260.jpg
978-5-17-072823-7_site_4,Любовь и вампиры.Как выйти замуж за вампира-миллио,Как выйти замуж за вампира-миллионера.,this_is_elegant_storyh_about_vampiers_site_4,This is just a story about vampiers ,this is elegant storyh about vampiers,default,5.69,Undefined|Авторы>Спаркс Керрелин|Издатели>АСТ: Астрель: Полиграфиздат,Undefined|Authors>Спаркс Керрелин|Publishers>АСТ: Астрель: Полиграфиздат,2014-01-01,28,Publisher:М.: АСТ: Астрель: Полиграфиздат|publication_year:20111|ISBN:978-5-17-072823-7|Format:84x108/32|in_stock:28|Pages:384|,this is elegant storyh about vampiers:This is just a story about vampiers ,4.63,300,
978-5-699-63368-5_site_4,Много птичек - один кот,"Новый авторский проект для всестороннего развития ребенка! Брошюра познакомит малыша с одними из первых математических понятий: много - мало, один - ни одного; научит воспринимать множества без пересчета.",This_is_a_great_book_about_Adam_and_Eva_site_4,test,This is a great book about Adam and Eva,default,1.37,Categories>Учебная литература>Дошкольникам>Математика и счет|Авторы>Елена Янушко|,Categories>Учебная литература>Дошкольникам>Математика и счет|Authors>Елена Янушко|,2014-01-01,42,ISBN:978-5-699-63368-5|Format:84x108/16|in_stock:42|Pages:16|,This is a great book about Adam and Eva:test,1.11,72,http://www.ozon.ru/multimedia/books_covers/1005985868.jpg
978-5-699-76541-6_site_4,Э.ЛРСД(м).В ожидании апокалипсиса,В ожидании апокалипсиса,book_316679_site_4,"","",default,2.11,Undefined|Авторы>Абдуллаев Ч.А.|Издатели>Эксмо,Undefined|Authors>Абдуллаев Ч.А.|Publishers>Эксмо,2014-01-01,38,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-76541-6|Format:70x90/32|in_stock:38|Pages:320|,Э.ЛРСД(м).В ожидании апокалипсиса:В ожидании апокалипсиса,1.71,111,
978-5-699-75579-0_site_4,Голубые ангелы,"",book_316680_site_4,"","",default,2.11,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Авторы>Чингиз Абдуллаев|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный мужской детектив|Authors>Чингиз Абдуллаев|Publishers>Эксмо,2014-01-01,22,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-75579-0|Format:70x90/32|in_stock:22|Pages:384|,Голубые ангелы:,1.71,111,http://www.ozon.ru/multimedia/books_covers/1010841820.jpg
978-5-699-67608-8_site_4,Э.ЛРСД(м).Рассудок маньяка,Рассудок маньяка,book_316687_site_4,"","",default,2.07,Undefined|Авторы>Абдуллаев Ч.А.|Издатели>Эксмо,Undefined|Authors>Абдуллаев Ч.А.|Publishers>Эксмо,2014-01-01,44,Publisher:М.: Эксмо|publication_year:2013|ISBN:978-5-699-67608-8|Format:70x90/32|in_stock:44|Pages:320|,Э.ЛРСД(м).Рассудок маньяка:Рассудок маньяка,1.68,109,
978-5-699-58161-0_site_4,Э.ЛучПр(м).Черный мятеж,Черный мятеж,book_316705_site_4,"","",default,1.54,Undefined|Авторы>Зверев С.И.|Издатели>Эксмо,Undefined|Authors>Зверев С.И.|Publishers>Эксмо,2014-01-01,22,Publisher:М.: Эксмо|publication_year:2012|ISBN:978-5-699-58161-0|Format:70x100/32|in_stock:22|Pages:320|,Э.ЛучПр(м).Черный мятеж:Черный мятеж,1.25,81,
978-5-699-66818-2_site_4,Э.ЛучПр(м).Шатун,Шатун,book_316706_site_4,"","",default,1.71,Undefined|Авторы>Дышев А.М.|Издатели>Эксмо,Undefined|Authors>Дышев А.М.|Publishers>Эксмо,2014-01-01,2,Publisher:М.: Эксмо|publication_year:2013|ISBN:978-5-699-66818-2|Format:70x100/32|in_stock:2|Pages:352|,Э.ЛучПр(м).Шатун:Шатун,1.39,90,
978-5-699-72595-3_site_4,Я - ваши неприятности,"Тетушка Серафима собирается выдать племянницу Лику замуж за - ни много ни мало - итальянского миллионера. Достаточно лишь приехать в Италию, считает она, как толпа богатых претендентов падет к ногам русской красавицы. Но благому намерению сбыться не суждено. Серафиму подставили в казино, где она работала - навесили на хрупкую шейку восемьдесят семь миллионов. Куда кидаться? К кому обращаться? В милицию – смешно, к близким – грешно. А счетчик тикает без остановки...",book_315532_site_4,"","",default,2.45,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Татьяна Полякова|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Татьяна Полякова|Publishers>Эксмо,2014-01-01,2,Publisher:М.: Эксмо|publication_year:2014|ISBN:978-5-699-72595-3|Format:70x90/32|in_stock:2|Pages:320|,"Я - ваши неприятности:Тетушка Серафима собирается выдать племянницу Лику замуж за - ни много ни мало - итальянского миллионера. Достаточно лишь приехать в Италию, считает она, как толпа богатых претендентов падет к ногам русской красавицы. Но благому намерению сбыться не суждено. Серафиму подставили в казино, где она работала - навесили на хрупкую шейку восемьдесят семь миллионов. Куда кидаться? К кому обращаться? В милицию – смешно, к близким – грешно. А счетчик тикает без остановки...",1.99,129,http://www.ozon.ru/multimedia/books_covers/1010351427.jpg
978-5-699-57448-3_site_4,Вкус ледяного поцелуя. Эксклюзивный мачо,"""Вкус ледяного поцелуя"". Три женщины убиты одна за одной, и все в примерочной кабинке универмага. Ох, как не хотелось Ольге Рязанцевой, референту городской администрации, влезать в это дело, но пришлось. А туг еще два трупа, на этот раз - мужчины. Причем этих убрали в весьма пикантной ситуации. Ольга решила найти убийцу во что бы то ни стало! Как раз кстати в городе появился очень опасный парень, специалист по трудноразрешимым проблемам. Но сейчас, кажется, он не на Ольгиной стороне, уж больно взгляд у него колючий и поцелуй ледяной. ""Эксклюзивный мачо"". Что делать скромной девушке, когда крутые мачо начинают играть в свои крутые игры? Ясно - держаться подальше. Только вот у Ольги Рязанцевой это не получается. Вечно она умудряется влипнуть в историю. На шикарной яхте перерезали горло некой Анечке, разумеется, главный подозреваемый - Ольга. Дальше - больше, гибнут один за другим свидетели этого убийства, и все после того как поговорят с Ольгой. Она ищет убийцу, а...",book_315828_site_4,"","",default,2.73,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Авторы>Татьяна Полякова|Издатели>Эксмо,Categories>Художественная литература>Детективы. Боевики. Триллеры>Отечественный женский детектив|Authors>Татьяна Полякова|Publishers>Эксмо,2014-01-01,2,Publisher:М.: Эксмо|publication_year:2012|ISBN:978-5-699-57448-3|Format:70x90/32|in_stock:2|Pages:576|,"Вкус ледяного поцелуя. Эксклюзивный мачо:""Вкус ледяного поцелуя"". Три женщины убиты одна за одной, и все в примерочной кабинке универмага. Ох, как не хотелось Ольге Рязанцевой, референту городской администрации, влезать в это дело, но пришлось. А туг еще два трупа, на этот раз - мужчины. Причем этих убрали в весьма пикантной ситуации. Ольга решила найти убийцу во что бы то ни стало! Как раз кстати в городе появился очень опасный парень, специалист по трудноразрешимым проблемам. Но сейчас, кажется, он не на Ольгиной стороне, уж больно взгляд у него колючий и поцелуй ледяной. ""Эксклюзивный мачо"". Что делать скромной девушке, когда крутые мачо начинают играть в свои крутые игры? Ясно - держаться подальше. Только вот у Ольги Рязанцевой это не получается. Вечно она умудряется влипнуть в историю. На шикарной яхте перерезали горло некой Анечке, разумеется, главный подозреваемый - Ольга. Дальше - больше, гибнут один за другим свидетели этого убийства, и все после того как поговорят с Ольгой. Она ищет убийцу, а...",2.22,144,http://www.ozon.ru/multimedia/books_covers/1005428901.jpg
